,댓글
625,"1. 원래 반도 동쪽에는 전통적으로 2도가 있다고 알려짐(울릉도 2도설:울릉도와 우산도)  2. 후에 도항관측에 의해 울릉도 동북부속도인 죽도가 발견되고 울릉도-송도:마츠시마, 죽도-죽도:다케시마로 참작됨  (현재의 리앙쿠르는 아직 명칭이 없어 호넷 암초)"
626,이거  영어자막 붙여서 일본 좋아하는 외국인들 보여주자ㅋㅋㅋㅋㅋㅋㅋㅋ
627,"여러분 독도빵 먹을때 파란펜,검정펜 꼭! 챙겨가서 먹읍시다~"
628,"인류가  아닌 종에게  인간성을 바라서는 안될 일입니다.  그것은 마치,  달팽이나  우뭇가사리에게  언어를 가르치려는 노력에 지나지않습니다."
629,와~  일본 진짜  없네? 미쳤네. 뭔 독도는 일본땅이라고? 뭔 개소리를 하는지. 진짜  화가 나네!  일본인들 공부를 어덯게 한거야 특히 학교 교실에서 역사 공부 할때 선생님들 뭐한거야!
630,경찰이 젤 착하다
631,0:34 아니 뭐 하러 왔어 물어보고 여성분이 말하니까 닥치라 하고 또 뭐 하러 왔냐고 물어보네ㅋㅋㅋ 말을 하라는 거냐 말라는 거냐
632,"김구라가 저기서 침착하게 있는거 ㄹㅇ 프로다 나였으면 진짜 아구창 개때릴거 같음 진심,,,"
633,"11:30 여기부터 ""가래"" 라고 자막 표기한 음성은 카에레(돌아가라.) 로 추측되는데, 아마 한국 취재진들에게 너네 나라로 돌아가라는 뜻으로 화를 낸 것 같음"
634,저게일본이냐?   ㄹㅇ 내인생레전드닼ㅋㅋㅋㅋㅋㅋㅋㅋ
635,아니 진짜 다 큰 사람이 개 잼민짓하잔아 자기들이 저렇게 화나면 결국 다른사람들이 보면 뭔말하겠니?이게 지들나라라고 우기다가 지들나라가 다 욕 쳐먹눈 잼민짓이지
636,구라형님 참을성 대단하다. 나는 zi라r하길래 일본어로 도둑놈! 이러고 나왔는데
637,뭐하냐고 물어놓고 말하면 닥치라고 하네 ㅋㅋㅋㅋㅋㅋㅋㅋ 뭐하는거지 저게 ㅋㅋㅋㅋ
638,어디에 있는지도 모르면서 일본땅이래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 독도는 우리 대한민국 땅이다.
639,13:50 지가 물어봐놓고 일본어로 친히~ 말해주니까 닥x라고 하고 다시 물어보는 꼬라지 봐라 ㅋㅋ
640,사람 아님 생각이 없음 이걸로 충분히 일본사람들 설명가능
641,0:05 진짜 지건 개마렵네
642,설민석님이 설명하고 마동석님이 물리적으로 해결...❤하면 딱이겠죠?
643,어이상실.............그럼 일본도 우리 한국에 못와야 되는거 안닌가?..........
644,괜찮아요 여러분 너무 분노하지 말아요. 곧 있으면 일본은 곧 사라질거에요.  지진으로 부터 그리고 경재적으로 부터 곧 망할겁니다. 참는자가 이긴다는 말도 있으니 저런 개소리는 그냥 개가 짖는다 생각 하고 넘어갑시다.
645,맞습니다
646,동석이형이 갔으면 그 손가락 그 말투 살아남지도 못했어 ''진실의 방으로''
647,제일 이상한건 뭐하러 왔냐고 물어봐놓고 뭐하러 왔는지 대답하려하니까 닥치라고 하고 다시 뭐하러 왔냐고 물어보는 거네요.
648,일단 우기고 보는거 킹받네
649,욕 하고싶다 진짜 일본이 그럼 그렇지..
650,그냥 믿도끝도없는 우기기~~~
651,독도는우리땅입니다!
652,진짜 미개한 인간들 이라는 생각밖에는 안드네요. 설사 진짜 자신들이 맞다고 믿는다고 해도 저렇게 예의없이 구는건 참..
653,일본인을 한국으로 들어가게해주는 한국도 천사다... Токто - территория Кореи!
654,대통령님께서  어떻게든 회담으로 담판을 내셔야 해요..!
655,뱤@캬@라퓰@뱅 분석만 할 줄 알면 95프로로 돈먹을 수 있음
656,망언을 하고 독도에 대해 잘 알지 못하는 사람들은 독도를 지킬 권리가 없습니다. 독도가 어디있는지 독도에 대한 정보들에 대해 우리 한국인들은 모두 당연하다는 듯이 잘 알고 있지만(울릉도에서 동남쪽으로 87.4km 떨어진곳에 위치하고 있습니다.)일본인들은 독도가 어디있는지 조차 몰랐던 점만 살펴보아도 독도는 한국땅이라는 것을 알 수 있습니다.
657,진짜 고구마 5000억개 먹은 것 같다.겁나 답답하네
658,일단 사람밀치고 손가락질하고 막말하는거부터가 인성이개빻음 지들도 찔리는게 있으니까 저러지ㅋㅋㅋㅋ관종인가 관심받는거 디게 좋아하네
659,섭외한 배우들 연기잘하네
660,이 영상을 하루빨리 해외에 퍼뜨려야합니다 외국인들은 일본이 친절한나라라고 알고있습니다 외국인한테만 겁나친절하기때문이죠 일본 독도의 역사 보러온사람에게 잘해주지 못할망정 저렇게 비매너적으로 행동하다니 빨리 실체릉 알려서 남은 원자폭탄 하나를 터뜨려야합니다
661,지네 땅이라고 말하면 진짜 자기 땅 되는 줄 아는건가 +작년 일본 여행 갔을 때 저 귀엽다고 서비스 주신분 너무 감사합니다아...
662,3:50 피지컬 후덜덜
663,일본을좋아하는 한국인입니다 저렇게우기는건나쁘다고생각합니더
664,마동석형 같이 갔으면 그림 좋았겠는데
665,화가난다!!!!
666,통역분이 즉시 통역을 해주시거나 일본어를 하실수 있는분이 갔더라면 더 통쾌한 언변이 가능했을텐데 아쉽네요
667,내가 저기 있었다면 바로 싸움
668,진짜 몸좋은연예인 운동선수들 데리고 가야지
669,독도우리땅이다!!!  건들이지 마라!!일본 놈들아!!!!! 독도 어디있는줄 모르면서  독도 일본 땅이라고하니깐  진짜 짜증나네 아예 가서 욕하고싶다 ㅋㅋ
670,계속되는 알고리즘 추천. 더이상의 설명은 생략한다
671,독도를 지들 섬중에서 가장가까운곳에서 봐도 안보이는 주제에 말이 많아
672,일본 : 그거 우리 집이야 한국 : 너네 집이라고?거기가 어딘데? 일본 : 그건...모르지..... 한국 : ...?우린 아는데 
673,"근데 과연 여기 댓글 다는 사람들 중에 독도가 우리 땅인 이유를 정확히 여러가지 말 할 수 있는 사람이 얼마나 될까? 독도가 우리 땅인 이유도 자세히 모르면서 인터넷에서 복붙한 사람도 솔직히 만잖아요. 여기에 일본 나쁘네, 이게 뭔 꼴이야라고 글 올릴 수 있는 자격은"
674,후지산이 화이팅하길 기원합니다.
675,나 같으면 바로 주먹질 함 아니 소리친 남들보다 나이가 더 많은 일본인이 인정했다는데 인정을 안해
676,그리고 빵 파시는 할부지는 착하시네~!★
677,그럼… 조건이 하나 있어 일본 영토 전체를 줘 그러면 독도줄게 그리고 미국이 불러서 너네 해치우라 하면 돼 일본아.
678,"일본의 다케시마는 대나무 섬이란 뜻입니다. 하지만 일본이 다케시마, 즉 죽도라고 칭하고있는 독도는 대나무가 아예 보이질 않죠. 그러므로 일본의 다케시마는 틀린것이고 독도라고 볼수있습니다"
679,일단 일본은요 아무 근거 없이 우기구요 제대로된 자료를 보지도 않고 한국의 말은 다 엉터리다 라고 하구요 그리고 다케시마ㅋㅋ 일단 다케시마는 대나무 섬이라고 번역되는데 독도에선 대나무가 자라지 않습니다
680,(수정했어요 오해하시는분이있어서요)독도가 일본땅 이라고 하는 일본인 무식하다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ독도가 어딘지도모르고 독도에 쌀 나는지도모르는데 자기땅이래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
681,마동석이 갔으면 저딴 소리 못 했겠지 우익: 독도 내꺼야!!! 빼애애애액!!!!!!!!!!!!! 김구라: 뭐라는거야? 마동석: 어 나 아트박스 독도점 사장인데.....
682,김구라가 걍 몸으로 싸워도 이길 것 같긴 한데 ㅋㅋ
683,"일본인은 저런 일본인을 부끄러워야합니다. 묵인도 같은 인간이 되는 것입니다. 무논리 폭력적린 행동,  뒷골목에 단둘이 만나면 찍소리도 못할 인간들이"
684,무지한거는  약도 없다
685,독도는 일본땅！！！！
686,"일본: 연륜 있으신 어르신께 물어봐도 모르는 독도 위치 한국:초등학생,심지어 유치원생까지 안다는 경상북도 울릉군 울릉읍 독도리"
687,대한민국 역사교육 부활이 중요합니다.. 일본은 30여년전부터 독도를 빼앗기위해 독도가 일본땅이라는 학습을 통해 준비하고있습니다.왜곡된역사를 바로잡기위해선 우리 나라도 역사교육을통해 독도와 김치를 지켜야합니다.
688,무지성들에겐 애기해도 안통해요  소귀에 경읽기랑 같아요 자기들 믿고싶은데로만 믿는사람들..
689,이게 나라망신이지
690,전세계에 알리는 방송이라고 해서 영어로 하세요. 일본인에게 뭐드지 영어로 하세요 무조건 이깁니다.
691,여러말 하기  귀찮음  억울하면  국력을키우고  그러기위해선  단결이 최우선임  약한놈들이 뒤에서  호박씨까는거  아니겠음? 괴롭힘 당히는 놈들도 주외에  도움울  요청하기보다는  최대한  자기스스로  힘을  길러야하듯 참고로 난 일본편도 아니고  그냥 원리를  얘기한거임
692,외국에서도 볼 수 있게 제목이랑 자막 영어 지원해주시면 안 되나요?
693,캬~ 여태까지 만든미사일 다다퍼부어ㅋㅋ
694,그 유명한 노래가 있습니다 하와이는 미국땅 대마도는 어쨋든 있는데 독도는 지네들땅이라고 하면 독도는 일본땅 일본은 우리땅이라고 정리가 가능합니다
695,약간 열받는다
696,여기서 일본에 인성을 보여줌
697,김구라 공손하네 ㅋㅋ 그냥 일본가서 행복하게 한국 욕하고 살아
698,첫번째 여성분 자기가 일본땅이라고 하면서도 눈치보네 일본땅이 아닌걸 아는거지..
699,김구라님이 착해서 봐주는거지 나는 바로 주먹 날아갔음
700,지금 일본은 독도가 아닌 7광구를 차지하려는 목적으로 독도에게 눈돌리려고 하게 하는거임.. 7광구를 안뺐기는게 중요함
701,여러분 일본이 독도는 일본꺼라고해도 저희 한국을 무시할수가 없습니다...그니까 우리한국 모두 뭉쳐서 일본을 제발 무찔릅시다..
702,그냥 독도에 있는 대나무를 다 뽑아버리죠
703,"진짜 세마디로 ""역겹다"""
704,일본인 100명과 잼민이 10명이서 붙으면 말빨론 잼민이가 이긴다 ㄹㅇ
705,대한민국에 영토분쟁은 없습니다 :)
706,대한민국: 너네 비행기 타고 독도 가지? 일본: ㅇㅇ 대한민국: 우린 비행기 안타도갈 수 있음 ㅋㅎ 일본:(ㅂㄷㅂㄷ)
707,"모든 한국인이 아는 노래 애국가,독도는 우리땅 이 둘만 알아도 국뽕이 차오름"
708,독도는 누가 자기땅이라고 우겨도 대한민국 땅🥰
709,병원에서 혈압재는데 고혈압이 나오넼ㅋㅋㅋ 나원래 약간 저혈압인데
710,영상 앞부분에 나오는 “독도가 어디있는지 아시냐”라는 물음에 바로 튀어나오는 내 머릿속의 대답 ㅋㅋ 울릉도! 동남쪽! 뱃길따라 이백리! 애들 동요를 틀어도 내내 나온다 독도위치 ㅋㅋㅋㅋ 우리나라는 남녀노소 다 안다! ㅋㅋㅋㅋ 돌지난 내 딸한테도 말해주고 있다 ㅋㅋㅋㅋ
711,ㅋㅋㅋㅋㅋ 독도가 지네 땅인데 왜 비행기 타고 멀리 와서 독도 보냐..
712,다 갖다 붙이면 자기네 꺼인줄 아나? 중국도 발해 자기네 역사라고 우기더니  나중엔 우리나라 드라마나 TV프로도 카피해 가는데.하여튼 좋은 건 알아가지고...🤭
713,일본 애들 비겁하네! 레전드네
714,보면서 느낀건데 김구라가 연예인이여서 다행인거 같음 아니였으면 가만히 있지않을꺼같은데
715,일본들은 역사시간에 하품을 하면서 잠을 잦나보네요^^ 아무것도 모르면서 소중한 우리땅이 지땅이라고 우기네요
716,이거보고 3학년 동생 독도역사 가르치러 갑니다
717,근데 진짜 무시가 답인게 차피 일본 지리학자도 독도 한국땅이라 하고 역사적 증명도 있고 군사력도 한국이 더 강해서 독도 침략도 못하고 그러니까 혼자 쌩쇼 하게 냅두면 잠잠해질거임
718,"ㅇㄴ 통역 좀 제대로 좀 하지 그래서 다들 뭔지 못알아듣고 계속 듣고만 있잖아 ;;누가 보면 우리가 잘못한둣,, ㅋ ㅠㅜ"
719,"다케시마라고 우기는 사람, 마스크 않썻다고 뭐라하는사람 5:5"
720,"근데 잠만 대한민국인들은 갑자기 일본인잡고 ""독도는 한국땅이니 꺼져!"" 이렇게 말안하잖아"
721,근데..다좋은데.. 마스크는 쓰심이..책잡힐수 있으니까요..
722,년도:1945 8.15신:(일본 인성 테스트 해야지~)(한국 땅을 들며)이 것이 니 것이냐? 일본:네! 신:(IQ가 증발했나?)(독도를 들며)이 것이 니 것이냐?
723,근데 솔직히 독도나 울릉도 보면 한국인이 엄청 많음 배 타면서도 주위를 둘러보면 대부분이 한국사람들이고...
724,"(Dokdo song) southeast of Ulleungdo Island passage. 87 as a lonely k seomhana who no matter how much his own in the hometown of birds to counter that Dokdo is our land 🇰🇷, Ulleung-gun, North Gyeongsang Province.132 37 of 13 degrees north latitude Dokdo, Ulleung-eup, Tokyo rainfall 1800s Dokdo is our land squid wastasenia Daegu mussels, barnacles, resident registration Choi Jong-Duk 🇰🇷 gimseongdo 19 million of moving the tomb.805 Dokdo is our land to 799 square meter, 13 Years Since King Jijeung 🇰🇷 island Woosan Island, Gangwon Province, the Sejong Geography Book which Dokdo Tsushima was earth is American soil is Hawaii uljinhyeonOur land 🇰🇷 no man's Island just after the Russo-Japanese War forced to swear black is white, I'm really in a Silla general, General Yi Sa-bu laughs in the basement. Dokdo is our land 🇰🇷"
725,😢😢
726,저기 막말하는 저 일본인간들이랑 한국인들 독도가지고 말빨대결하면 한번에 제압하는거 쌉가능
727,이런건 강호동같은 사람들이 가야하는데
728,11:08 머독이 우익이라니 놀랍다 참...
729,일본 이렇게 막나갈 줄은 상상도 못했다 일본 극혐...
730,03:49 응 안밀리죠? ㅋㅋㅋㅋㅋ 일본인 근력 ㅋㅋㅋㅋㅋ
731,와~~손님한태 인성보소
732,저기를 김구라가 아니라 마동석을 데려갔어야지 어디함 보자 똑같이 떠드나
733,한국 우익 청년들하고 태극기 할아버지들 저곳에 보내드리고싶다 진짜 흥미진진해질듯~~~ ㅎㅎ
734,저럴땐 동석이 형님이 있어야해
735,그냥 저사람들 자기 수준이 이렇다고 하는거잖아요.
736,"독도는 일본땅이 아닙니다 옛날 일본 정부가 독도는 한국땅이라고 얘기 했습니다 우기지 마세요 그라고 그나라에 그시민이네요 독도가 일본땅이라는 엉터리 말좀 하지마세요 Dokdo is not part of Japanese territory. In old Japan government did say that Dokdo is Korean territory. Don't insist. The citizens to stint in the country. Dokdo as Japanese territory, Don't tell it was a sham 獨島是日本領土。 日本政府過去是韓國領土獨島說成了 別犟了 該國,其그라市民啊。 獨島是日本領土""的荒唐的話請不要 îles Dokdo au Japon n'est pas la terre. Comme au bon vieux temps par le gouvernement japonais îles Dokdo coréen. la terre il faut parler. Ne pleurez pas. c'est ma future ex-femme. et dans ce pays ce sont des citoyens. îles Dokdo est au Japon la terre est un simulacre d'cheval un peu Ne faites pas ça Dokdo Japón tiene la tierra no. antiguo Japón el gobierno Dokdo Corea tierra que fuera. No te detengas. Y ese país en ese ciudadano. Dokdo el Japón tierra que gazapatón No seas 이 글을 복사 하셔도 좋습니다 이 말을 널리 퍼트려주세요 노 독도 일본땅 노 독도 일본땅이라는 개소리 독도는 한국땅입니다 제대로 알아주세요 Puede copiar este texto Ponga este caballo en marcha. cordoncillo Dokdo Japón tierra francesa Dokdo Japón tierra que tonterías estupideces chorradas disparate Dokdo Corea tierra. Quiero que lo sepas この文をコピーしてもかまいません この言葉を広く言いふらしてください 盧、独島の日本の領土、盧、独島の日本の領土というたわごと独島は韓国の領土です ちゃんと分かってください。複製這篇文章也可以 請推廣一下這句話 日本領土獨島""日本領土獨島""獨島是韓國領土是放屁 請好好了解一下 Vous pouvez copier cet article. Dites-moi ce que vous dites-moi. No îles Dokdo au Japon la terre No îles Dokdo au Japon la terre est-Foutaises îles Dokdo coréen. la terre. Je veux que vous sachiez bien"
737,독도는  우리땅 우리땅!!!!!!
738,울릉도 동남쪽 뱃길 따라 이 백리  외로운 섬 하나 새들의 고향  그 누가 아무리 자기네 땅이라고 우겨도  독도는 우리 땅 !🇰🇷🇰🇷
739,이 영상을 보는 일반 일본인들의 반응이 궁금하다
740,김구라 아저씨 일본가서 고생하셨다  내가 학생인데 일본인들 독도가 어디에 있는지도 모르면서 다케시마 어쩌구 저쩌구라 우기고 독도는 한국거임 일본진짜 자기땅이라고 애쓴다ㅋ그래 독도 일본꺼 일본 한국꺼 어때?
741,"마지막에 너희들 뭐냐, 뭐하러 왔냐고 물어보고 말할려고 하니깐 닥치라고 하고...ㅎㅎㅎㅎㅎㅎㅎ 똥 쌀까 말깔 물어봐서  휴지주니깐 날 멀로 보냐고 화내는..뭐 이런 식?? ㅋㅋㅋㅋㅋㅋㅋ"
742,"""일본인들의 인성을 알려주는 영상"""
743,와..이런 짜증난다...
744,소귀에 경읽기... 딱 적당하네
745,ㅋㅋ 아니 일본 우기는거 검나재밌네
746,일본인이 독도 박물관에 오면 보고 진실을 알아가라고 설명해줄것같은데.. 저긴 떳떳하지않으니까 가라고만 하는듯 하는짓이 너무 수준낮아보임
747,라때맛쿠키:자! 오늘은 커피로 일본인들을 족치는 법을 배워볼꺼야
748,울진현(蔚珍縣)    지현사(知縣事) 1인.
749,응~~~~ 독도가 일본땅이라고 하는게 어이없음
750,언제 봐도 신기한 소리다 안보이는 땅이 자기들 땅이라 하면  신대륙도 자기 땅이라 하겠네
751,우아 일본 놈들이 자기네 땅이라고 우기네 독도는 한국땅!!!!! 일본놈들이 어디서 엉터리 짓을 하고 난리야
752,일본인: 왜 왔냐 꺼져라 통역사: 아 그게.... 일본인: 꺼져 통역사: (너가 물어봤잖아 ㅂㄷㅂㄷㅂㄷ)
753,13:44   자기가 물어놓고 13:55    자기가 말하지 말라고 함ㅋ
754,일본애들은 목소리만 높으면 지들이 이기는줄 알아.
755,일본인들왤케뻔뻔해? 아니독도는한국땅인데 나같았으면한대쳐버렸겠다
756,12:48 이런사람들은 있다고 근데 행패부리는 그사람들때문에 착한사람들까지 욕먹는거야
757,일본이 한국에 오면 저래도 되나요???!!!!!!!!
758,만약 김구라가 일본말을 한줄 알았다면 일본말로 쌍욕했을듯
759,나가라고 하는 거 좀 웃기지 않음? 자기들이 전시한 자료에 자신 있으면 오히려 보라고 하겠지ㅋㅌㅋㅋ 더 알려주고 더 보여줘서 잘못된 게 뭔지 알리고 고쳐주려고 해야지 무작정 너 한국인이니깐 나가 하는 거 자체가 우린 이 자료가 맞는지 몰라용하고 간접적으로 알려주는 거 아니냐고ㅋㅌㅋㅋ(보통 모른다고 하면 상냥하게 알려주고 고쳐주려고 하지 야 너 모르니깐 여기서 공부나 하고 가라고 안 하잖아? 최소한 저렇게 시비 걸진 않지) 그냥 쟤네들은 혐한이 하고 싶은 거고 독도가 지네들 땅이라고 우기고 싶은 거지 왜 지네들이 그렇게 주장하는지 알려주고 싶진 않아 하는 것 같음. 무논리 주장 오지네ㅋㅌㅋㅋㅋㅋㅋ
760,무식한 사람이 신념을 가지면 무섭다더니
761,9:34 내가 저기있고 싸인펜 그런거 있으면 바로 태극기로 만들었음
762,얘들아K대강국의 힘을보여주자
763,한국 사람이 잘해주면 일본은 꺼지라고 진짜 악당이 따로 없네. 옛날부터 지금까지 한국과 세상의 악당이다 일본은 아까운 나라다.
764,행사장에 동양인이 아니고 서양인(백인?)이 왔다면 おもてなし로 180도 바꿀 거예요 !!! 그리고 한국사람 처럼 혼자서는 절대 행동(깽판?) 못하죠 ㅋㅋ 일본에서 어떻게 살다보니 20년넘게 살고 있습니다 !
765,그냥 네이-버에 쳐도 뱤-캬라퓰-뱅  주소 알 수 있음 믿고 ㄱㄱ
766,한국:이 에어팟 내가 샀다? 일본:뭔 개소리 그거내거야 한국:여기 영수증 난 증거가 있어 넌 증거를대봐 일본:역시 한국은 야만적이야..
767,솔직히 일본좋아하는데 이런거 보면 좋아할수가 없네.. (물론 일본인들이 다 나쁘다는 말은 아닙니다)
768,어떻게 저런 침패치들이 세계 이이큐3위임??? (우리나라2위)
769,독도가 일본 땅이라고 얘기 할때마다 한대 때리고 싶다 ㅋㅋ
770,한국인 어린이:독도는 당연히 울릉도 동남쪽 뱃길따라 200리잖아 일본인어른:어디지?
771,일본은 옛날이나 지금이나 우기는건  똑같네요
772,일본은 분노조절증 장애 있는나라인듯... 아무것도 안했는데 화내고 난리여;;
773,호동이 형님이랑 김종국 형님이랑 김동현 형님 모시고 한번 더 가시죠...
774,일본 내에서 일어나고 있는 만행을  다른 방송국에서도 적극취재하고 우리 국민들에게 알려주시길  적을 알고 나를 알아야 박전백승한다
775,독도는 우리 땅이야 이 일본아
776,틀+잼+찐 인간계의 삼위일체
777,참고로 틱톡에선 독도가 일본의 것이라는 영상 대부분에 일본어닉이고 영상도 다 일본영상인 놈이 띄어쓰기도 제대로하지 않고 한국어로 화와이 는 한국에영토 라며 한국인행세를 하는데 그게 또 좋다고 일본애들이 욕을 해댄다
778,일본은 지금 암흑 시대 입니다  뮐 해서든 관심 받아서  먹고살 궁리만  하죠  아직도 머리속에  자기들이 최고라는 허망한  생각만하니  나라가 저모양이고  아베는  저따구입니다  대한민국에  태어나서  살고 있는 전  아주 행복합니다
779,"독도는 대한민국 땅이고  독도는 512년 신라가 우산국을 복속시킨 이후 줄곧 역사적으로 우리나라의 영토였다. 이때는 우산도라 불렸으나, 조선시대에 들어 삼봉도(三峰島·1471년), 가지도(可支島·1794년), 석도(石島․1900년)라고 불렸다. 1900년에는 고종황제의 칙령 41조에 의해 독도는 울릉군의 한 부속도서로서 공식적으로 강원도에 편입되었다. 그리고 행정지명으로서 독도라는 이름은 1906년 울릉군수 심흥택에 의해서 처음 사용되었으며, 1914년 행정구역 개편으로 경상북도에 편입되어 오늘에 이르고 있다. 이게 대한민국 독도 역사 이고"
780,다음에는 마동석이랑 설민석 데려갑시다
781,"독도가 우리 땅인 이유  1. 울릉도는 독도와 약87km 떨어져 있고, 일본의 오키서은 약157km 떨어져있으므로 지리적으로 우리땅이 맞다."
782,"일본인 한명이 ""가레""라고 소리치며 하는 말은 駆る(몰 구 : 가루)라는 말의 명령형으로 추정되는데, ""쫓아내""라고 하는 뜻인 것 같네요. 그런데, 우리 말의 ""가라""라고 하는 발음과 묘하게 일치하는 것 같지 않아요?"
783,와 진짜 짜 증나네에
784,"제럴드 다이아몬드의 총균쇠라는 책을 보면 현대 일본인은 지난 2000년간 그들의 고유한 문화를 수정, 발전시켜 온 한국인 이민자의 자손이래요.(일본인 연구원들도 유전자 검사를 실시했을때 현대 일본인 의 유전자가 야요이의 것을 닮았는데 야요이 인의 유전자는 현재 한국인과 유사하다고도 했고요.)"
785,당연히 독도는 대한민국 땅이지 일본가서 물어봐라 다케시마 노래 있냐고
786,닥치라고 할거면 뭐하러 왔냐고 왜 물어봄ㅋㅋㅋㅋ 일상 생활 가능한 사람인가 ㅋㅋㅋㅋㅋㅋ
787,"독도는 한국 것이며, 오래된 역사에도 적혀있습니다. 하지만 그걸 모르는 일본인들, 당신들이 한국에와서 다시 역사를 배워 주세요!! 당신들의 행동이 얼마나 개념없고 무식 했던건지, 한국인들과 잘 지내려는 일본인분들께 당신들은 폐를 끼치는 겁니다!"
788,우린 노래도 있다 울릉도 동남쪽 뱃길따라 이백리^^ 덕분에 어디있는지 모를수가 없죠
789,일본가서 저런거 당하면 ㄹㅇ ptsd올듯
790,"독도는 512년 신라가 우산국을 복속시킨 이후 줄곧 역사적으로 우리나라의 영토였다. 이때는 우산도라 불렸으나, 조선시대에 들어 삼봉도(三峰島·1471년), 가지도(可支島·1794년), 석도(石島․1900년)라고 불렸다. 1900년에는 고종황제의 칙령 41조에 의해 독도는 울릉군의 한 부속도서로서 공식적으로 강원도에 편입되었다. 그리고 행정지명으로서 독도라는 이름은 1906년 울릉군수 심흥택에 의해서 처음 사용되었으며, 1914년 행정구역 개편으로 경상북도에 편입되어 오늘에 이르고 있다."
791,지들이 독도는 한국땅 이래놓고 갑자기 우디르급 테세전환하는거 보면 개 ㅈ같음
792,통역관이 없는거야 뭐야 제대로 통역이 안되는건가 답답하네
793,쓰나미가 그리워 지는 영상이네요
794,만약 김구라=김동현 옆에있는 지인=추성훈이였으면 ㄹㅇ 아무도 시비못건다 ㅋ
795,아니 독도에서 어떻게 쌀농사를 함 ㅋㅋㅋㅋㅋ
796,독도는 한국 꺼다!!! 독도만 써도 보기에 한국이라고 나온다!!우리 나라를 사랑합시다 🇰🇷
797,일본인은 본인들의 역사를 모른듯ㅋ
798,반대로 한국은 독도가 어디있는지 모르는사람 찾기가 더힘들겠다 ㅋㅋ아니 없을듯 ㅋㅋ
799,"나도 한국인이고 독도가 한국땅이라고 생각하고 그렇게 인정받으면 좋겠지만 너무 역사적 관점으로만 설명하는 현실이 안타까움,,, 조선때 우리땅이었다고 현재도 우리땅이라는 식의 논리는 국제 사회에서 절대 먹히지 않음,,, 그런 논리라면 현재 영토가 진짜 자기 영토일 국가 아무것도 없고 영국, 몽골이 전세계의 주인일거임,, 우리나라에서 군이 아닌 경찰을 보내 수비하는 이유도 군끼리 부딪히면 국가간 무력충돌로 간주돼서 국제사법재판소로 송치될거고 그러면 국제사회는 당연히 일본편을 들어줄거기 때문임,, 대한제국이 일제에 강제병합된 이후로 독도는 일제의 땅이 맞고, 우리나라 영토를 돌려받는 절차에서 사용됐던 공식 문서에 독도가 빠졌으니 제 3자 입장에서는 일본땅으로 봐지는게 현실임,, 그냥 우리나라는 지금 하는거처럼 강제든 아니든 독도에 사람을 머무르게 해서 100년간 점유를 하고, 그뒤에 100년이상 점유시 그 국가의 땅이라고 판단하는 국제법에 따라 독도를 우리 영토로 만드는 수 밖에는 없음,, 저렇게 일본에 가서 논란을 만들어서 사법재판소에 넘기겠다고 했던 한일협정 조약을 상기시키면 안됨,,, 좀 치사하게 보일수도 있고 자존심도 상하지만 가만히 100년이 지나기를 기다려야함,,"
800,저러면 왜 행사를 하는거지? 저건 행사가 아니라 저정도행위면 집회잖아
801,일본인:독도는 우리 땅! 한국인:독도가 어디 있는지 아세요? 일본인:그건 모름. 어쨋든 독도는 우리 땅임 한국인:독도 갈 때 여권 챙기세요?
802,저기에서 영화 명량이랑 진주만 틀어놓고싶다ㅎㅎㅎ
803,지들 땅이라고 우기면서 물른다고? 그럼 내가 사는곳도 물르겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
804,먹는걸로 장난치면 안돼는 한국인들이 볼 때 진짜 고구마 100개 먹은 듯
805,확실히 교육이 중요하구나 진짜 개논리로 지껄이는거보니 교육이상하게 받은듯
806,빵 파는 할아버지 넘착해 다른 매너없는 사람들의 비해 100개 감사합니다^^ 200개 감사합니다~
807,일본 놈 들이  알아야할것 독도는 한국땅이야 대한민국땅!!
808,김구라코인 떡상했습니다
809,일본 어이없네  우리땅이라고 일본인들아
810,마동석 김동현 명현만 최태성 및 역사학자분들 및 보디가드들 이 조합으루다가…조져봅시다…!
811,저 조동이를 그냥 꼬매 버려야 정신을 차리지ㅋㅋ 몸싸움 일어나면 콱씨ㅋ
812,"하,, 취지는 좋은데 이정도 우익 예상은 하고 방송을 기획했었어야지.. 전문가들이랑 김구라 그리고 통역사 준비 한건 알겠지만 통역사가 아닌 일본어를 바로 알아듣고 할줄 아는 방송인들이 더 추가 되었다면 , 시청자들이 덜 답답했을듯"
813,BTS가 군복무를 그냥 경북지방경찰청독도경비대로 갔으면 좋겠다.
814,13:02 뭉치면 강해도 마동석에겐 한방임ㅅㄱ
815,너희가 수쪽으로 덤벼도 우리의 민심  만큼은 넘지 못할것이다
816,감상평 : 우롸아!!! 역시 몽키들♡
817,일본인들 복도에 갔어요 안 갔잖아요 우리는 복도에가 본 적 있어요 독도가 우리나라 라고요
